90a75961-332c-48e3-a48e-0332d9a9b592_(t),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),90a75961-332c-48e3-a48e-0332d9a9b592_(t-1),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t-1)
0.419,0.535,2.0,0.44,0.541
0.417,0.544,1.0,0.419,0.535
0.423,0.549,1.0,0.417,0.544
0.422,0.529,1.0,0.423,0.549
0.425,0.552,1.0,0.422,0.529
0.447,0.56,0.0,0.425,0.552
0.447,0.561,0.0,0.447,0.56
0.457,0.567,0.0,0.447,0.561
0.463,0.574,1.0,0.457,0.567
0.461,0.557,1.0,0.463,0.574
0.479,0.552,0.0,0.461,0.557
0.483,0.557,1.0,0.479,0.552
0.492,0.564,1.0,0.483,0.557
0.467,0.567,1.0,0.492,0.564
0.46,0.552,0.0,0.467,0.567
0.456,0.56,1.0,0.46,0.552
0.47,0.574,0.0,0.456,0.56
0.456,0.566,0.0,0.47,0.574
0.466,0.562,1.0,0.456,0.566
0.461,0.559,1.0,0.466,0.562
0.459,0.565,0.0,0.461,0.559
0.46,0.557,0.0,0.459,0.565
0.45,0.568,0.0,0.46,0.557
0.438,0.559,0.0,0.45,0.568
0.432,0.559,0.0,0.438,0.559
0.434,0.576,0.0,0.432,0.559
0.434,0.572,1.0,0.434,0.576
0.432,0.57,2.0,0.434,0.572
0.446,0.555,1.0,0.432,0.57
0.461,0.567,1.0,0.446,0.555
0.471,0.564,0.0,0.461,0.567
0.481,0.579,0.0,0.471,0.564
0.474,0.592,0.0,0.481,0.579
0.471,0.597,1.0,0.474,0.592
0.479,0.588,0.0,0.471,0.597
0.469,0.57,0.0,0.479,0.588
0.469,0.563,0.0,0.469,0.57
0.466,0.56,0.0,0.469,0.563
0.46,0.569,1.0,0.466,0.56
0.457,0.563,1.0,0.46,0.569
0.458,0.56,0.0,0.457,0.563
0.451,0.549,1.0,0.458,0.56
0.444,0.545,1.0,0.451,0.549
0.445,0.542,0.0,0.444,0.545
0.449,0.548,0.0,0.445,0.542
0.454,0.546,0.0,0.449,0.548
0.458,0.555,0.0,0.454,0.546
0.459,0.555,0.0,0.458,0.555
0.455,0.554,0.0,0.459,0.555
0.458,0.559,0.0,0.455,0.554
0.459,0.569,1.0,0.458,0.559
0.464,0.572,1.0,0.459,0.569
0.46,0.576,1.0,0.464,0.572
0.45,0.57,0.0,0.46,0.576
0.453,0.576,1.0,0.45,0.57
0.447,0.575,1.0,0.453,0.576
0.453,0.566,1.0,0.447,0.575
0.451,0.569,0.0,0.453,0.566
0.457,0.56,0.0,0.451,0.569
0.447,0.567,0.0,0.457,0.56
0.456,0.569,0.0,0.447,0.567
0.438,0.568,0.0,0.456,0.569
0.453,0.572,0.0,0.438,0.568
0.443,0.568,1.0,0.453,0.572
0.454,0.569,0.0,0.443,0.568
0.451,0.567,0.0,0.454,0.569
0.45,0.549,0.0,0.451,0.567
0.442,0.537,0.0,0.45,0.549
0.439,0.544,0.0,0.442,0.537
0.433,0.554,0.0,0.439,0.544
0.441,0.553,0.0,0.433,0.554
0.431,0.545,0.0,0.441,0.553
0.435,0.555,0.0,0.431,0.545
0.436,0.572,0.0,0.435,0.555
0.446,0.567,0.0,0.436,0.572
0.443,0.593,0.0,0.446,0.567
0.455,0.586,0.0,0.443,0.593
0.445,0.582,1.0,0.455,0.586
0.467,0.579,2.0,0.445,0.582
0.467,0.572,1.0,0.467,0.579
0.458,0.566,1.0,0.467,0.572
0.464,0.576,2.0,0.458,0.566
0.464,0.583,2.0,0.464,0.576
0.452,0.582,1.0,0.464,0.583
0.478,0.585,0.0,0.452,0.582
0.468,0.6,0.0,0.478,0.585
0.48,0.592,0.0,0.468,0.6
0.476,0.584,1.0,0.48,0.592
0.488,0.579,0.0,0.476,0.584
0.49,0.569,0.0,0.488,0.579
0.508,0.572,0.0,0.49,0.569
0.502,0.575,0.0,0.508,0.572
0.499,0.575,0.0,0.502,0.575
0.485,0.556,0.0,0.499,0.575
0.481,0.559,0.0,0.485,0.556
0.489,0.564,0.0,0.481,0.559
0.471,0.552,0.0,0.489,0.564
0.464,0.566,0.0,0.471,0.552
0.463,0.566,0.0,0.464,0.566
0.469,0.581,0.0,0.463,0.566
0.482,0.575,0.0,0.469,0.581
0.47,0.566,0.0,0.482,0.575
0.468,0.563,0.0,0.47,0.566
0.461,0.568,0.0,0.468,0.563
0.456,0.568,1.0,0.461,0.568
0.45,0.567,0.0,0.456,0.568
0.455,0.581,0.0,0.45,0.567
0.451,0.556,0.0,0.455,0.581
0.454,0.541,0.0,0.451,0.556
0.446,0.544,0.0,0.454,0.541
0.453,0.552,0.0,0.446,0.544
0.443,0.545,0.0,0.453,0.552
0.44,0.536,0.0,0.443,0.545
0.451,0.535,1.0,0.44,0.536
0.455,0.544,1.0,0.451,0.535
0.449,0.548,1.0,0.455,0.544
0.463,0.584,1.0,0.449,0.548
0.467,0.573,1.0,0.463,0.584
0.484,0.562,2.0,0.467,0.573
0.499,0.56,1.0,0.484,0.562
0.512,0.557,0.0,0.499,0.56
0.515,0.571,0.0,0.512,0.557
0.498,0.57,0.0,0.515,0.571
0.492,0.56,0.0,0.498,0.57
0.473,0.553,0.0,0.492,0.56
0.483,0.557,0.0,0.473,0.553
0.478,0.545,0.0,0.483,0.557
0.473,0.546,0.0,0.478,0.545
0.474,0.562,0.0,0.473,0.546
0.472,0.556,0.0,0.474,0.562
0.457,0.562,0.0,0.472,0.556
0.466,0.582,0.0,0.457,0.562
0.447,0.584,0.0,0.466,0.582
0.45,0.589,0.0,0.447,0.584
0.466,0.618,0.0,0.45,0.589
0.467,0.62,0.0,0.466,0.618
0.467,0.592,0.0,0.467,0.62
0.464,0.58,1.0,0.467,0.592
0.46,0.579,1.0,0.464,0.58
0.46,0.571,1.0,0.46,0.579
0.459,0.571,1.0,0.46,0.571
0.454,0.551,0.0,0.459,0.571
0.454,0.545,0.0,0.454,0.551
0.451,0.539,0.0,0.454,0.545
0.459,0.548,1.0,0.451,0.539
0.458,0.556,1.0,0.459,0.548
0.441,0.573,1.0,0.458,0.556
0.432,0.571,0.0,0.441,0.573
0.429,0.576,0.0,0.432,0.571
0.431,0.565,0.0,0.429,0.576
0.44,0.561,1.0,0.431,0.565
0.454,0.578,0.0,0.44,0.561
0.465,0.559,0.0,0.454,0.578
0.462,0.561,0.0,0.465,0.559
0.472,0.55,0.0,0.462,0.561
0.466,0.55,0.0,0.472,0.55
0.462,0.544,0.0,0.466,0.55
0.466,0.556,0.0,0.462,0.544
0.46,0.552,0.0,0.466,0.556
0.461,0.552,0.0,0.46,0.552
0.455,0.568,0.0,0.461,0.552
0.463,0.573,0.0,0.455,0.568
0.445,0.559,0.0,0.463,0.573
0.441,0.573,0.0,0.445,0.559
0.451,0.584,0.0,0.441,0.573
0.456,0.573,0.0,0.451,0.584
0.46,0.571,0.0,0.456,0.573
0.475,0.576,0.0,0.46,0.571
0.471,0.565,0.0,0.475,0.576
0.464,0.554,0.0,0.471,0.565
0.461,0.568,0.0,0.464,0.554
0.467,0.558,1.0,0.461,0.568
0.465,0.562,1.0,0.467,0.558
0.469,0.565,1.0,0.465,0.562
0.461,0.57,1.0,0.469,0.565
0.451,0.573,0.0,0.461,0.57
0.446,0.576,0.0,0.451,0.573
0.449,0.56,1.0,0.446,0.576
0.446,0.571,0.0,0.449,0.56
0.443,0.564,0.0,0.446,0.571
0.43,0.554,0.0,0.443,0.564
0.44,0.551,0.0,0.43,0.554
0.447,0.555,0.0,0.44,0.551
0.457,0.561,0.0,0.447,0.555
0.458,0.556,0.0,0.457,0.561
0.464,0.564,0.0,0.458,0.556
0.466,0.57,0.0,0.464,0.564
0.452,0.552,0.0,0.466,0.57
0.443,0.536,0.0,0.452,0.552
0.446,0.54,1.0,0.443,0.536
0.455,0.539,2.0,0.446,0.54
0.446,0.537,2.0,0.455,0.539
0.451,0.534,2.0,0.446,0.537
0.443,0.542,2.0,0.451,0.534
0.45,0.539,2.0,0.443,0.542
0.455,0.56,0.0,0.45,0.539
0.453,0.554,1.0,0.455,0.56
0.452,0.552,1.0,0.453,0.554
0.454,0.563,1.0,0.452,0.552
0.454,0.566,0.0,0.454,0.563
0.441,0.556,1.0,0.454,0.566
0.438,0.559,0.0,0.441,0.556
0.448,0.555,0.0,0.438,0.559
0.452,0.567,0.0,0.448,0.555
0.459,0.57,0.0,0.452,0.567
0.455,0.568,0.0,0.459,0.57
0.452,0.571,0.0,0.455,0.568
0.442,0.58,0.0,0.452,0.571
0.45,0.564,0.0,0.442,0.58
0.454,0.564,0.0,0.45,0.564
0.457,0.559,0.0,0.454,0.564
0.453,0.56,0.0,0.457,0.559
0.459,0.559,0.0,0.453,0.56
0.465,0.551,1.0,0.459,0.559
0.456,0.55,1.0,0.465,0.551
0.448,0.553,0.0,0.456,0.55
0.455,0.56,0.0,0.448,0.553
0.458,0.545,2.0,0.455,0.56
0.467,0.54,1.0,0.458,0.545
0.471,0.552,1.0,0.467,0.54
0.458,0.554,1.0,0.471,0.552
0.461,0.553,1.0,0.458,0.554
0.444,0.55,0.0,0.461,0.553
0.451,0.552,1.0,0.444,0.55
0.453,0.558,0.0,0.451,0.552
0.452,0.558,0.0,0.453,0.558
0.452,0.559,1.0,0.452,0.558
0.461,0.572,1.0,0.452,0.559
0.455,0.574,1.0,0.461,0.572
0.445,0.583,1.0,0.455,0.574
0.449,0.57,1.0,0.445,0.583
0.449,0.567,0.0,0.449,0.57
0.445,0.562,0.0,0.449,0.567
0.441,0.557,0.0,0.445,0.562
0.434,0.562,0.0,0.441,0.557
0.419,0.557,0.0,0.434,0.562
0.428,0.54,0.0,0.419,0.557
0.427,0.544,0.0,0.428,0.54
0.437,0.54,0.0,0.427,0.544
0.434,0.55,0.0,0.437,0.54
0.444,0.565,0.0,0.434,0.55
0.438,0.555,0.0,0.444,0.565
0.444,0.57,2.0,0.438,0.555
0.449,0.556,1.0,0.444,0.57
0.448,0.565,2.0,0.449,0.556
0.445,0.563,1.0,0.448,0.565
0.441,0.561,1.0,0.445,0.563
0.44,0.553,1.0,0.441,0.561
0.45,0.568,1.0,0.44,0.553
0.457,0.551,0.0,0.45,0.568
0.458,0.589,1.0,0.457,0.551
0.461,0.565,1.0,0.458,0.589
0.466,0.566,0.0,0.461,0.565
0.459,0.559,0.0,0.466,0.566
0.458,0.572,0.0,0.459,0.559
0.459,0.575,0.0,0.458,0.572
0.473,0.559,0.0,0.459,0.575
0.479,0.564,0.0,0.473,0.559
0.487,0.556,0.0,0.479,0.564
0.503,0.547,0.0,0.487,0.556
0.458,0.558,0.0,0.503,0.547
0.443,0.561,0.0,0.458,0.558
0.44,0.568,0.0,0.443,0.561
0.441,0.552,1.0,0.44,0.568
0.452,0.549,0.0,0.441,0.552
0.457,0.553,0.0,0.452,0.549
0.464,0.552,0.0,0.457,0.553
0.463,0.569,0.0,0.464,0.552
0.463,0.565,0.0,0.463,0.569
0.452,0.575,0.0,0.463,0.565
0.492,0.57,0.0,0.452,0.575
0.49,0.581,0.0,0.492,0.57
0.477,0.586,0.0,0.49,0.581
0.479,0.578,0.0,0.477,0.586
0.46,0.575,1.0,0.479,0.578
0.456,0.587,1.0,0.46,0.575
0.448,0.57,1.0,0.456,0.587
0.445,0.564,0.0,0.448,0.57
0.46,0.562,1.0,0.445,0.564
0.45,0.562,1.0,0.46,0.562
0.446,0.557,1.0,0.45,0.562
0.437,0.566,1.0,0.446,0.557
0.445,0.564,1.0,0.437,0.566
0.445,0.577,1.0,0.445,0.564
0.451,0.586,2.0,0.445,0.577
0.443,0.608,1.0,0.451,0.586
0.454,0.592,1.0,0.443,0.608
0.469,0.575,1.0,0.454,0.592
0.47,0.573,2.0,0.469,0.575
0.474,0.579,0.0,0.47,0.573
0.45,0.586,1.0,0.474,0.579
0.47,0.59,1.0,0.45,0.586
0.472,0.584,1.0,0.47,0.59
0.487,0.568,0.0,0.472,0.584
0.472,0.567,0.0,0.487,0.568
0.478,0.559,0.0,0.472,0.567
0.482,0.558,0.0,0.478,0.559
0.481,0.562,0.0,0.482,0.558
0.485,0.552,0.0,0.481,0.562
0.483,0.553,0.0,0.485,0.552
0.481,0.548,0.0,0.483,0.553
0.454,0.547,0.0,0.481,0.548
0.444,0.545,0.0,0.454,0.547
0.45,0.539,0.0,0.444,0.545
0.449,0.54,0.0,0.45,0.539
0.45,0.559,0.0,0.449,0.54
0.435,0.548,0.0,0.45,0.559
0.437,0.55,0.0,0.435,0.548
0.442,0.544,0.0,0.437,0.55
0.443,0.552,1.0,0.442,0.544
0.443,0.53,0.0,0.443,0.552
0.445,0.549,0.0,0.443,0.53
0.443,0.558,0.0,0.445,0.549
0.447,0.552,0.0,0.443,0.558
0.45,0.548,0.0,0.447,0.552
0.444,0.538,0.0,0.45,0.548
0.446,0.551,1.0,0.444,0.538
0.463,0.552,0.0,0.446,0.551
0.45,0.547,0.0,0.463,0.552
0.455,0.553,0.0,0.45,0.547
0.454,0.548,0.0,0.455,0.553
0.443,0.545,0.0,0.454,0.548
0.444,0.555,0.0,0.443,0.545
0.448,0.546,0.0,0.444,0.555
0.451,0.555,0.0,0.448,0.546
0.442,0.559,0.0,0.451,0.555
0.441,0.556,1.0,0.442,0.559
0.437,0.556,1.0,0.441,0.556
0.442,0.554,0.0,0.437,0.556
0.453,0.562,0.0,0.442,0.554
0.446,0.566,1.0,0.453,0.562
0.45,0.557,1.0,0.446,0.566
0.441,0.564,1.0,0.45,0.557
0.451,0.561,1.0,0.441,0.564
0.452,0.563,1.0,0.451,0.561
0.45,0.56,0.0,0.452,0.563
0.461,0.571,0.0,0.45,0.56
0.45,0.564,1.0,0.461,0.571
0.46,0.58,1.0,0.45,0.564
0.471,0.578,1.0,0.46,0.58
0.455,0.574,1.0,0.471,0.578
0.467,0.575,2.0,0.455,0.574
0.465,0.579,1.0,0.467,0.575
0.45,0.575,1.0,0.465,0.579
0.449,0.575,1.0,0.45,0.575
0.462,0.583,1.0,0.449,0.575
0.478,0.573,1.0,0.462,0.583
0.465,0.562,0.0,0.478,0.573
0.459,0.569,0.0,0.465,0.562
0.45,0.568,0.0,0.459,0.569
0.442,0.575,0.0,0.45,0.568
0.455,0.572,0.0,0.442,0.575
0.457,0.573,0.0,0.455,0.572
0.466,0.573,0.0,0.457,0.573
0.452,0.559,1.0,0.466,0.573
0.452,0.565,0.0,0.452,0.559
0.457,0.579,0.0,0.452,0.565
0.46,0.593,0.0,0.457,0.579
0.454,0.576,0.0,0.46,0.593
0.458,0.561,0.0,0.454,0.576
0.478,0.564,0.0,0.458,0.561
0.473,0.564,0.0,0.478,0.564
0.466,0.561,0.0,0.473,0.564
0.458,0.55,0.0,0.466,0.561
0.468,0.543,0.0,0.458,0.55
0.463,0.532,0.0,0.468,0.543
0.459,0.537,0.0,0.463,0.532
0.468,0.541,0.0,0.459,0.537
0.465,0.55,0.0,0.468,0.541
0.469,0.568,1.0,0.465,0.55
0.479,0.582,0.0,0.469,0.568
0.479,0.585,0.0,0.479,0.582
0.483,0.587,0.0,0.479,0.585
0.469,0.573,0.0,0.483,0.587
0.459,0.595,0.0,0.469,0.573
0.455,0.589,0.0,0.459,0.595
0.453,0.585,0.0,0.455,0.589
0.459,0.577,0.0,0.453,0.585
0.45,0.558,0.0,0.459,0.577
0.447,0.546,1.0,0.45,0.558
0.45,0.548,0.0,0.447,0.546
0.449,0.545,0.0,0.45,0.548
0.444,0.561,0.0,0.449,0.545
0.432,0.54,0.0,0.444,0.561
0.444,0.55,0.0,0.432,0.54
0.437,0.556,0.0,0.444,0.55
0.44,0.559,0.0,0.437,0.556
0.435,0.567,0.0,0.44,0.559
0.435,0.562,0.0,0.435,0.567
0.431,0.556,0.0,0.435,0.562
0.441,0.552,0.0,0.431,0.556
0.451,0.552,1.0,0.441,0.552
0.454,0.554,1.0,0.451,0.552
0.459,0.557,2.0,0.454,0.554
0.457,0.57,2.0,0.459,0.557
0.457,0.575,0.0,0.457,0.57
0.475,0.566,0.0,0.457,0.575
0.48,0.58,0.0,0.475,0.566
0.484,0.571,1.0,0.48,0.58
0.492,0.573,0.0,0.484,0.571
0.492,0.572,0.0,0.492,0.573
0.477,0.564,0.0,0.492,0.572
0.467,0.568,0.0,0.477,0.564
0.467,0.559,0.0,0.467,0.568
0.474,0.553,0.0,0.467,0.559
0.465,0.568,0.0,0.474,0.553
0.472,0.567,0.0,0.465,0.568
0.475,0.559,0.0,0.472,0.567
0.473,0.562,0.0,0.475,0.559
0.479,0.567,1.0,0.473,0.562
0.475,0.576,1.0,0.479,0.567
0.474,0.574,0.0,0.475,0.576
0.468,0.561,1.0,0.474,0.574
0.46,0.571,1.0,0.468,0.561
0.471,0.568,1.0,0.46,0.571
0.473,0.56,0.0,0.471,0.568
0.471,0.569,1.0,0.473,0.56
0.485,0.579,1.0,0.471,0.569
0.476,0.597,2.0,0.485,0.579
0.478,0.584,2.0,0.476,0.597
0.468,0.586,2.0,0.478,0.584
0.47,0.575,1.0,0.468,0.586
0.477,0.594,1.0,0.47,0.575
0.471,0.592,1.0,0.477,0.594
0.464,0.591,2.0,0.471,0.592
0.475,0.591,2.0,0.464,0.591
0.461,0.581,1.0,0.475,0.591
0.46,0.596,1.0,0.461,0.581
0.445,0.588,1.0,0.46,0.596
0.446,0.612,1.0,0.445,0.588
0.444,0.603,0.0,0.446,0.612
0.45,0.585,0.0,0.444,0.603
0.47,0.57,0.0,0.45,0.585
0.467,0.571,0.0,0.47,0.57
0.465,0.562,0.0,0.467,0.571
0.479,0.585,0.0,0.465,0.562
0.489,0.577,0.0,0.479,0.585
0.477,0.577,0.0,0.489,0.577
0.471,0.584,0.0,0.477,0.577
0.474,0.55,0.0,0.471,0.584
0.46,0.555,0.0,0.474,0.55
0.466,0.555,0.0,0.46,0.555
0.46,0.546,0.0,0.466,0.555
0.454,0.542,0.0,0.46,0.546
0.45,0.55,0.0,0.454,0.542
0.445,0.54,0.0,0.45,0.55
0.473,0.556,0.0,0.445,0.54
0.477,0.557,1.0,0.473,0.556
0.453,0.572,0.0,0.477,0.557
0.463,0.55,0.0,0.453,0.572
0.464,0.572,0.0,0.463,0.55
0.454,0.566,0.0,0.464,0.572
0.462,0.547,0.0,0.454,0.566
0.466,0.542,0.0,0.462,0.547
0.476,0.549,0.0,0.466,0.542
0.475,0.541,0.0,0.476,0.549
0.479,0.549,0.0,0.475,0.541
0.469,0.554,0.0,0.479,0.549
0.47,0.565,0.0,0.469,0.554
0.471,0.56,0.0,0.47,0.565
0.458,0.56,1.0,0.471,0.56
0.464,0.552,2.0,0.458,0.56
0.453,0.55,2.0,0.464,0.552
0.456,0.554,1.0,0.453,0.55
0.442,0.545,1.0,0.456,0.554
0.439,0.541,0.0,0.442,0.545
0.453,0.549,0.0,0.439,0.541
0.463,0.545,0.0,0.453,0.549
0.481,0.562,1.0,0.463,0.545
0.483,0.554,0.0,0.481,0.562
0.472,0.564,0.0,0.483,0.554
0.477,0.56,0.0,0.472,0.564
0.457,0.559,0.0,0.477,0.56
0.459,0.561,0.0,0.457,0.559
0.469,0.565,0.0,0.459,0.561
0.479,0.57,0.0,0.469,0.565
0.484,0.559,0.0,0.479,0.57
0.478,0.548,0.0,0.484,0.559
0.455,0.544,0.0,0.478,0.548
0.456,0.558,0.0,0.455,0.544
0.467,0.564,1.0,0.456,0.558
0.478,0.592,0.0,0.467,0.564
0.47,0.583,0.0,0.478,0.592
0.457,0.582,0.0,0.47,0.583
0.443,0.573,0.0,0.457,0.582
0.46,0.567,1.0,0.443,0.573
0.45,0.57,0.0,0.46,0.567
0.442,0.557,0.0,0.45,0.57
0.443,0.553,0.0,0.442,0.557
0.447,0.558,0.0,0.443,0.553
0.463,0.561,0.0,0.447,0.558
0.466,0.548,0.0,0.463,0.561
0.466,0.551,1.0,0.466,0.548
0.461,0.554,0.0,0.466,0.551
0.463,0.543,0.0,0.461,0.554
0.459,0.543,1.0,0.463,0.543
